tweet_text,label_text
 Family members describe the aftermath of the California wildfires.,affected_individuals
" In Houston, Harvey could hit families hardest",affected_individuals
 Iran # Iran : # earthquake victims still unable to reach their homes,affected_individuals
 Texas wildfires destroy entire town,affected_individuals
 Mexico Earthquake Survivors Face the World of Health,affected_individuals
 # HurricaneMaria s s devastation and aftermath continue to affect thousands of Puerto Ricans,affected_individuals
 My baby napped while Hurricane Irma s destruction wreaked havoc,affected_individuals
 RT @Reuters : At least 60 Puerto Rico residents killed in Hurricane Maria aftermath,affected_individuals
 RT @NBCDFW : Hurricane Irma in Palm Bay hits home for evacuees,affected_individuals
 Harvey victims at risk of hunger or homelessness in California,affected_individuals
" RT @CBSChicago : In California, fire kills woman by climbing a mountain",affected_individuals
" @WMBR news : Hurricane Irma victims are sending in donations, food and other supplies.",affected_individuals
" RT @KMAW : Children, people in their 70s killed in California wildfires",affected_individuals
 I left my house with my baby daughter in an SUV after a recent tornado destroyed our home. I could not find my family,affected_individuals
 Florida police confirm child died from Hurricane Irma.,affected_individuals
 A family in a coastal city struggling with the effects of Hurricane Maria s devastating flooding,affected_individuals
 Injured animal caught in Mexico fire in search of sustenance,affected_individuals
 RT @EagleBizTimes : This story from # Florida,affected_individuals
" RT @PaidSalute : # Harvey relief efforts are underway in, Florida. #",affected_individuals
 Puerto Rico still without power after Hurricane Maria,affected_individuals
 RT @huffingtonpost : Woman dies after house collapsed on her in California,affected_individuals
 Hundreds of Hurricane Harvey evacuees wait for evacuation at a private pool near Key West after Irma,affected_individuals
 Hurricane Maria victims are struggling to find money,affected_individuals
,affected_individuals
" One day after Hurricane Irma, Puerto Rico still has no electricity.",affected_individuals
 The Earthquake That Destroyed # MexicoEarthquakeCity Could Also Have Been The End of Us # # MexicoEarthquake # News # MexicoEarthquake,affected_individuals
" Wildfires threaten more homes in California, as they make way for California Coast Guard |",affected_individuals
 RT @thehill : Hurricane Irma victims flee New Orleans for South Florida,affected_individuals
" RT @TEXASWELL : Floodwaters from Harvey and Irma continue to ravage Florida farms, leaving thousands without homes # FTV",affected_individuals
 California wildfire survivors return home to find family still living in ruins,affected_individuals
 We are so close to the earthquake. We have been to a doctor to confirm it. My family and friends are in a boat. We are still waiting for info. # news,affected_individuals
 Hurricane Harvey survivor is on the search for her life in Mexico City,affected_individuals
 Hurricane Harvey victims face death by # Harvey,affected_individuals
 RT @TheReligionOfPeace : A family is in danger as Hurricane Irma forces them to evacuate # church,affected_individuals
 California fire survivors continue to go missing after last night's fire,affected_individuals
 Family Reunites With Children Left Without Home by Hurricane Harvey,affected_individuals
" In wake of Hurricane Irma, Harvey victims still face the reality",affected_individuals
,affected_individuals
