tweet_text,label_text
 Hurricane Irma victims waiting to get their water,affected_individuals
 We send condolences to the family of the man who lost his life during Hurricane Maria,affected_individuals
 Flooding in California after heavy rains and high winds |,affected_individuals
 RT @thehill : USGS : Harvey - ravaged area leaves US citizens living on tenterhooks,affected_individuals
 Couple who were in Texas flood wake to find their homes flooded -,affected_individuals
 RT @WCPO : Hurricane Irma : Puerto Rico s only power generator shuts down -,affected_individuals
 Hurricane Harvey survivors await cleanup at an apartment building in Rockport. ( WFAA,affected_individuals
 Please send food and cash donations to our s Hurricane Harvey victims via email or text message to # SWEARFLY [PEN.],affected_individuals
 RT @HoustonNews : Children still struggling with Harvey rubble # HoustonA,affected_individuals
" Maria hit by powerful Irma, USGS says # storm...",affected_individuals
 California Wildfires : # California fires remain devastatingly hot and raging,affected_individuals
 California wildfires : Over 200 have died,affected_individuals
 Hurricane Irma victims face a tough future # USNews # USNews2017,affected_individuals
 Hurricane Irma victims struggling to rebuild in 2017,affected_individuals
 Mexico earthquake survivor s relief package packed in earthquake shelter,affected_individuals
 Hurricane Irma survivor s children wake up in death in Barbuda,affected_individuals
 US Navy personnel serving in Puerto Rico struggle with Hurricane Maria devastation,affected_individuals
 RT @CBCNews : Hundreds stranded in Florida after Hurricane Irma.,affected_individuals
 A couple still in hospital following devastating earthquake in Iran # Iran,affected_individuals
  Hurricane Maria : the impact on Puerto Rico,affected_individuals
 RT @WMAZ : Local woman loses family in Texas wildfires,affected_individuals
 Hurricane Maria victims return to their homes in Dominica,affected_individuals
 @TDSNews24 RT @aol,affected_individuals
 Local School Kids Hit by Harvey Drop In Aid,affected_individuals
 The family of the little girl killed in Hurricane Irma is left wondering,affected_individuals
 RT @Reuters : People escaping Iran as Hurricane Irma tears up the country s landscape,affected_individuals
 I am the only one who is not left with nowhere to turn when I feel like I need to. Help me get back home.,affected_individuals
 Family Of Houstonians Deathly Hacked By # Harvey Is Now A Fund ,affected_individuals
 RT @AtheistNation : It is extremely sad to see children orphaned by Hurricane Harvey.,affected_individuals
" RT @abcnews : In California wildfire, home destroyed by fire, family finds it hard to rebuild",affected_individuals
" # California wildfires, victims in California # fire",affected_individuals
" The news from Puerto Rico, Puerto Rico, and... it is the same. # hurricaneharvey",affected_individuals
" RT @NateGuida : Harvey damage, chaos and devastation : One mom",affected_individuals
 California woman survives California wildfires for the first time,affected_individuals
 RT @the_cenquirer : Woman's shock after missing # earthquake # Iran,affected_individuals
 Survivors of California wildfires tell their story,affected_individuals
  Puerto Rico evacuees find a second home as Hurricane Maria hits Florida,affected_individuals
 # HurricaneHarvey a woman and her family in Mobile trying to get back to her home after Hurricane Irma,affected_individuals
 Hurricane Harvey Residents Have to Face an Uncertain Future via @news5a # News5A,affected_individuals
 Our community is stronger and more resilient because of the courage and dedication of our community members,affected_individuals
 Photos from today in Mexico City following # HurricaneMaria. We are seeing destruction.,affected_individuals
 RT @WGNPR : California wildfires : Where you should go for evacuation information,affected_individuals
 California wildfires : Families are caught in battle for survival,affected_individuals
" RT @NRA_EQ : We are one nation united and we will get stronger. It happens, it is just a matter of time.",affected_individuals
 RT @dna : Thousands killed in Iran as earthquake hits earthquake scarred coast,affected_individuals
 Hurricane Irma | Maria devastation : how did I miss it,affected_individuals
 I hope this is the end of the # HurricaneMaria - # death toll will grow # news,affected_individuals
